dish_id,n5k_class,total_mass_g,total_kcal,total_fat_g,total_carb_g,total_protein_g
dish_1573579406,bacon,110.0,0.0,0.0,0.0,0.0
dish_1574098164,bacon,42.0,0.0,0.0,0.0,0.0
dish_1571932448,oatmeal,334.0,0.0,0.0,0.0,0.0
dish_1575923584,pasta,224.0,0.0,0.0,0.0,0.0
dish_1572889747,bacon,39.0,0.0,0.0,0.0,0.0
dish_1572278894,bacon,61.0,0.0,0.0,0.0,0.0
dish_1573579355,bacon,36.0,0.0,0.0,0.0,0.0
dish_1575923893,pasta,115.0,0.0,0.0,0.0,0.0
dish_1574097587,bacon,118.0,0.0,0.0,0.0,0.0
dish_1576258613,bacon,35.0,0.0,0.0,0.0,0.0
dish_1575307845,bacon,143.0,0.0,0.0,0.0,0.0
dish_1571932341,sausage,45.0,0.0,0.0,0.0,0.0
dish_1574357682,sausage,68.0,0.0,0.0,0.0,0.0
dish_1573232405,bacon,36.0,0.0,0.0,0.0,0.0
